ASIN,buy_box_seller_name,buy_box_seller_price,lowest_price_seller_name,lowest_price_seller_price,seller_2_name,seller_2_price,seller_3_name,seller_3_price,seller_4_name,seller_4_price,seller_5_name,seller_5_price,seller_6_name,seller_6_price
B07RRYK3C2,,,,,,,,,,,,,,
B07RRYK47N,,,,,,,,,,,,,,
B07RRYKBCJ,,,,,,,,,,,,,,
B07RRYKC5V,,,,,,,,,,,,,,
B07RRYKCLR,,,,,,,,,,,,,,
B07RRYKD2B,,,,,,,,,,,,,,
B07RRYKJDZ,,,,,,,,,,,,,,
B07RRYKL69,,,,,,,,,,,,,,
B07RRYKL6D,,,,,,,,,,,,,,
B07RRYKNX6,,,,,,,,,,,,,,
B07RRYKV9P,,,,,,,,,,,,,,
B07RRYKYN2,,,,,,,,,,,,,,
B07RRYL15Z,,,,,,,,,,,,,,
B07RRYL2B5,,,,,,,,,,,,,,
B07RSWT87Q,,,,,,,,,,,,,,
B07RSX4RL4,,,,,,,,,,,,,,
B07RSX6VFK,,,,,,,,,,,,,,
B07RSXD1P1,,,,,,,,,,,,,,
B07RSXL6NB,,,,,,,,,,,,,,
B07RSXL6NC,,,,,,,,,,,,,,
B07RSXQNV3,,,,,,,,,,,,,,
B07RSY43VK,,,,,,,,,,,,,,
B07RSY5F9W,,,,,,,,,,,,,,
B07RSY94ZP,,,,,,,,,,,,,,
B07RSYFMVF,,,,,,,,,,,,,,
B07RSYHRRC,,,,,,,,,,,,,,
B07RSYKYWJ,,,,,,,,,,,,,,
B07RSYQK4L,,,,,,,,,,,,,,
B07RSYR8VL,,,,,,,,,,,,,,
B07RSYWH4Q,,,,,,,,,,,,,,
B07RSYX74K,,,,,,,,,,,,,,
B07RSYY6G4,,,,,,,,,,,,,,
B07RSZ27B4,,,,,,,,,,,,,,
B07RSZ8SZX,,,,,,,,,,,,,,
B07RSZ8SZZ,,,,,,,,,,,,,,
B07RSZD7W8,,,,,,,,,,,,,,
B07RSZHZRQ,,,,,,,,,,,,,,
B07RSZL3QQ,,,,,,,,,,,,,,
B07RSZNJ9P,,,,,,,,,,,,,,
B07RSZNXGT,,,,,,,,,,,,,,
B07RSZS1JH,,,,,,,,,,,,,,
B07RSZZSML,,,,,,,,,,,,,,
B07RT138BP,,,,,,,,,,,,,,
B07RT183Q4,,,,,,,,,,,,,,
B07RT187XN,,,,,,,,,,,,,,
B07RT1DCTD,,,,,,,,,,,,,,
B07RT1DQ96,,,,,,,,,,,,,,
B07RT1G72D,,,,,,,,,,,,,,
B07RT1GDG4,,,,,,,,,,,,,,
B07RT1H39J,,,,,,,,,,,,,,
B07RT1JJRH,,,,,,,,,,,,,,
B07RT1L2QN,,,,,,,,,,,,,,
B07RT1LC4N,,,,,,,,,,,,,,
B07RT1LSKK,,,,,,,,,,,,,,
B07RT1M4SF,,,,,,,,,,,,,,
B07RT1MY8R,,,,,,,,,,,,,,
B07RT1N1FY,,,,,,,,,,,,,,
B07RT1N365,,,,,,,,,,,,,,
B07RT1N3MZ,,,,,,,,,,,,,,
B07RT1N3N1,,,,,,,,,,,,,,
B07RT1N547,,,,,,,,,,,,,,
B07RT1N548,,,,,,,,,,,,,,
B07RT1N6FY,,,,,,,,,,,,,,
B07RT1NGRK,,,,,,,,,,,,,,
B07RT1NTR4,,,,,,,,,,,,,,
B07RV2F87H,,,,,,,,,,,,,,
B07RV2X4XD,,,,,,,,,,,,,,
B07RV3329J,,,,,,,,,,,,,,
B07RV358CL,,,,,,,,,,,,,,
B07RV35DWC,,,,,,,,,,,,,,
B07RV35FXC,,,,,,,,,,,,,,
B07RV36GZ4,,,,,,,,,,,,,,
B07RV37Q7B,,,,,,,,,,,,,,
B07RV38CV7,,,,,,,,,,,,,,
B07RV39DV4,,,,,,,,,,,,,,
B07RV3B75V,,,,,,,,,,,,,,
B07RV3B75X,,,,,,,,,,,,,,
B07RV3B7ZV,,,,,,,,,,,,,,
B07RV3CGQX,,,,,,,,,,,,,,
B07RV3D46B,,,,,,,,,,,,,,
B07RV3GBFC,,,,,,,,,,,,,,
B07RV3JJ9S,,,,,,,,,,,,,,
B07RV3JXY8,,,,,,,,,,,,,,
B07RV3L8QM,,,,,,,,,,,,,,
B07RV3L8QN,,,,,,,,,,,,,,
B07RV3MLB8,,,,,,,,,,,,,,
B07RV3NK3V,,,,,,,,,,,,,,
B07RV3SJ4S,,,,,,,,,,,,,,
B07RV3TG4X,,,,,,,,,,,,,,
B07RV3V1QD,,,,,,,,,,,,,,
B07RV3VTSN,,,,,,,,,,,,,,
B07RV3XLG5,,,,,,,,,,,,,,
B07RV3YNW6,,,,,,,,,,,,,,
B07RV3Z99T,,,,,,,,,,,,,,
B07RV41DDZ,,,,,,,,,,,,,,
B07RV42PJZ,,,,,,,,,,,,,,
B07RV43CCJ,,,,,,,,,,,,,,
B07RV465F8,,,,,,,,,,,,,,
B07RV496F9,,,,,,,,,,,,,,
B07RV49GF8,,,,,,,,,,,,,,
B07RV49MBM,,,,,,,,,,,,,,
B07RV4BWGL,,,,,,,,,,,,,,
B07RV4DTRT,,,,,,,,,,,,,,
B07RV4GG82,,,,,,,,,,,,,,
B07RV4JJPB,,,,,,,,,,,,,,
B07RV4MSJQ,,,,,,,,,,,,,,
B07RV4P51P,,,,,,,,,,,,,,
B07RV4SHVH,,,,,,,,,,,,,,
B07RV59WMX,,,,,,,,,,,,,,
B07RV5M17F,,,,,,,,,,,,,,
B07RV5NYFN,,,,,,,,,,,,,,
B07RV5SBW1,,,,,,,,,,,,,,
B07RV5T62F,,,,,,,,,,,,,,
B07RV6339J,,,,,,,,,,,,,,
B07RV6D8JP,,,,,,,,,,,,,,
B07RV6RW53,,,,,,,,,,,,,,
B07RV6RW54,,,,,,,,,,,,,,
B07RV6RW56,,,,,,,,,,,,,,
B07RW4BY6M,,,,,,,,,,,,,,
B07VKT56F2,,,,,,,,,,,,,,
B07VKT5FD8,,,,,,,,,,,,,,
B07VKT5K9L,,,,,,,,,,,,,,
B07VL93MSS,,,,,,,,,,,,,,
B07VL953LW,,,,,,,,,,,,,,
B07VL95NCF,,,,,,,,,,,,,,
B07VMDC3L7,,,,,,,,,,,,,,
B07VMFDRLQ,,,,,,,,,,,,,,
B07VMFFT7Q,,,,,,,,,,,,,,
B07VMFG7DJ,,,,,,,,,,,,,,
B07VPHCNZV,,,,,,,,,,,,,,
B07VPJ4CSY,,,,,,,,,,,,,,
B07VQKS6DW,,,,,,,,,,,,,,
B07W4RMMHG,,,,,,,,,,,,,,
B07W4RMY67,,,,,,,,,,,,,,
B07W4RNLQT,,,,,,,,,,,,,,
B07W5WM32V,,,,,,,,,,,,,,
B07W5WM6K9,,,,,,,,,,,,,,
B07W5WMCBS,,,,,,,,,,,,,,
B07W5WPGJP,,,,,,,,,,,,,,
B07W6X3JS2,,,,,,,,,,,,,,
B07W6X4N1Q,,,,,,,,,,,,,,
B07W6X6FJY,,,,,,,,,,,,,,
B07W6X6GCH,,,,,,,,,,,,,,
B07W81FK2Q,,,,,,,,,,,,,,
B07W81FKN3,,,,,,,,,,,,,,
B07W81FL8P,,,,,,,,,,,,,,
B07W81FND7,,,,,,,,,,,,,,
B07W81FSPN,,,,,,,,,,,,,,
B07W81G39K,,,,,,,,,,,,,,
B07W94QG51,,,,,,,,,,,,,,
B07W94THYK,,,,,,,,,,,,,,
B07W94V3Y7,,,,,,,,,,,,,,
B07WBZD9TK,,,,,,,,,,,,,,
B07WC1TFVT,,,,,,,,,,,,,,
B07WC277Q5,,,,,,,,,,,,,,
B07WC2X7KW,,,,,,,,,,,,,,
B07WH8FFPS,,,,,,,,,,,,,,
B07WJCHNLQ,,,,,,,,,,,,,,
B07WJCJ6NF,,,,,,,,,,,,,,
B07WJCJG1D,,,,,,,,,,,,,,
B07WJCJJ5B,,,,,,,,,,,,,,
B07WKH7JYT,,,,,,,,,,,,,,
B07WKH8J3D,,,,,,,,,,,,,,
B07WKH8T93,,,,,,,,,,,,,,
B07WKH96G5,,,,,,,,,,,,,,
B07WNBYJ8X,,,,,,,,,,,,,,
B07WNBYMZZ,,,,,,,,,,,,,,
B07WNP87FG,,,,,,,,,,,,,,
B07WQJ15HP,,,,,,,,,,,,,,
B07WQJ5H3P,,,,,,,,,,,,,,
B07WQJB2DW,,,,,,,,,,,,,,
B07WQJW4SW,,,,,,,,,,,,,,
B07WQK4NGG,,,,,,,,,,,,,,
B07WQK5PNC,,,,,,,,,,,,,,
B07WQKNBHS,,,,,,,,,,,,,,
B07WQKRP81,,,,,,,,,,,,,,
B07WQKX7XK,,,,,,,,,,,,,,
B07WQKZZSN,,,,,,,,,,,,,,
B07WQL3SRS,,,,,,,,,,,,,,
B07WQLMGF8,,,,,,,,,,,,,,
B07WQMMMXM,,,,,,,,,,,,,,
B07WQNT157,,,,,,,,,,,,,,
B07WR2MJWJ,,,,,,,,,,,,,,
B07WR2NXF9,,,,,,,,,,,,,,
B07WR2Q73F,,,,,,,,,,,,,,
B07WR2YHH1,,,,,,,,,,,,,,
B07WWV3PY7,,,,,,,,,,,,,,
B07X7R81KZ,,,,,,,,,,,,,,
B07X9GR432,,,,,,,,,,,,,,
B082SYJV87,,,,,,,,,,,,,,
B082SYNTWK,,,,,,,,,,,,,,
