ASIN,url,buy_box_seller_name,buy_box_seller_price,lowest_price_seller_name,lowest_price_seller_price,seller_2_name,seller_2_price,seller_3_name,seller_3_price,seller_4_name,seller_4_price,seller_5_name,seller_5_price,seller_6_name,seller_6_price
B018VNUQ2Y,https://www.amazon.in/dp/B018VNUQ2Y/#aod,Visiaro India,₹ 213.00,Visiaro India,213,Industrial M,₹ 244.00,Cloudtail India,₹ 276.00,,,,,,
B018VNVUTC,https://www.amazon.in/dp/B018VNVUTC/#aod,Cloudtail India,₹ 650.00,Visiaro India,639,Visiaro India,₹ 639.00,Industrial M,₹ 691.00,,,,,,
B018VNVN2G,https://www.amazon.in/dp/B018VNVN2G/#aod,Cloudtail India,₹ 529.00,Visiaro India,523,Visiaro India,₹ 523.00,Industrial M,₹ 571.00,,,,,,
B018VNUVKG,https://www.amazon.in/dp/B018VNUVKG/#aod,Visiaro India,₹ 241.00,Visiaro India,241,Industrial M,₹ 289.00,Cloudtail India,₹ 380.00,,,,,,
B018VNYJUY,https://www.amazon.in/dp/B018VNYJUY/#aod,Visiaro India,₹ 241.00,Visiaro India,241,Industrial M,₹ 285.00,Cloudtail India,₹ 300.00,,,,,,
B018VNVFVU,https://www.amazon.in/dp/B018VNVFVU/#aod,Cloudtail India,₹ 302.00,Cloudtail India,302,Visiaro India,₹ 366.00,Industrial M,₹ 412.00,,,,,,
B018VNV29U,https://www.amazon.in/dp/B018VNV29U/#aod,Cloudtail India,₹ 251.00,Cloudtail India,251,Visiaro India,₹ 272.00,Industrial M,₹ 317.00,,,,,,
B018VNV0DI,https://www.amazon.in/dp/B018VNV0DI/#aod,Cloudtail India,₹ 296.00,Visiaro India,289,Visiaro India,₹ 289.00,Industrial M,₹ 328.00,,,,,,
B018VNUK02,https://www.amazon.in/dp/B018VNUK02/#aod,Visiaro India,₹ 202.00,Visiaro India,202,Industrial M,₹ 236.00,Cloudtail India,₹ 355.00,,,,,,
B018VNVQVO,https://www.amazon.in/dp/B018VNVQVO/#aod,Cloudtail India,₹ 370.00,Cloudtail India,370,Visiaro India,₹ 612.00,Industrial M,₹ 661.00,,,,,,
B018VNY5W6,https://www.amazon.in/dp/B018VNY5W6/#aod,Visiaro India,₹ 191.00,Visiaro India,191,Industrial M,₹ 224.00,Cloudtail India,₹ 340.00,,,,,,
B018VNYIL4,https://www.amazon.in/dp/B018VNYIL4/#aod,Cloudtail India,₹ 177.00,Cloudtail India,177,Visiaro India,₹ 213.00,Industrial M,₹ 248.00,,,,,,
B018VNUS2W,https://www.amazon.in/dp/B018VNUS2W/#aod,Visiaro India,₹ 196.00,Visiaro India,196,Industrial M,₹ 228.00,Cloudtail India,₹ 340.00,,,,,,
B018VNVAQA,https://www.amazon.in/dp/B018VNVAQA/#aod,Visiaro India,₹ 338.00,Visiaro India,338,Industrial M,₹ 383.00,Cloudtail India,₹ 425.00,,,,,,
B018VNV9BG,https://www.amazon.in/dp/B018VNV9BG/#aod,Visiaro India,₹ 294.00,Visiaro India,294,Industrial M,₹ 336.00,Cloudtail India,₹ 395.00,,,,,,
B018VNYPZ8,https://www.amazon.in/dp/B018VNYPZ8/#aod,Visiaro India,₹ 289.00,Visiaro India,289,Industrial M,₹ 328.00,Cloudtail India,₹ 395.00,,,,,,
B018VNY7NI,https://www.amazon.in/dp/B018VNY7NI/#aod,Visiaro India,₹ 207.00,Visiaro India,207,Industrial M,₹ 240.00,Cloudtail India,₹ 355.00,,,,,,
B018VNVYDY,https://www.amazon.in/dp/B018VNVYDY/#aod,Cloudtail India,₹ 500.00,Cloudtail India,500,Visiaro India,₹ 915.00,Industrial M,₹ 967.00,,,,,,
B018VNYMMY,https://www.amazon.in/dp/B018VNYMMY/#aod,Visiaro India,₹ 224.00,Visiaro India,224,Industrial M,₹ 269.00,Cloudtail India,₹ 360.00,,,,,,
B018VNUO3K,https://www.amazon.in/dp/B018VNUO3K/#aod,Visiaro India,₹ 202.00,Visiaro India,202,Industrial M,₹ 234.00,Cloudtail India,₹ 355.00,,,,,,
B018VNVL5K,https://www.amazon.in/dp/B018VNVL5K/#aod,Visiaro India,₹ 427.00,Visiaro India,427,Industrial M,₹ 471.00,Cloudtail India,₹ 515.00,,,,,,
B018VNY936,https://www.amazon.in/dp/B018VNY936/#aod,Visiaro India,₹ 191.00,Visiaro India,191,Industrial M,₹ 223.00,Cloudtail India,₹ 266.00,,,,,,
